datetime,type,temp_C,condition,humidity,wind_speed_m_s,sunrise_local,sunset_local,hours_of_sunlight
2025-10-05 09:42:45.322234+00:00,current,24.73,few clouds,68,0.6,2025-10-05 05:38:55+00:00,2025-10-05 17:20:21+00:00,11.690555555555555
2025-10-05 12:00:00,forecast,24.79,scattered clouds,67,2.96,,,
2025-10-05 15:00:00,forecast,26.55,scattered clouds,62,4.65,,,
2025-10-05 18:00:00,forecast,26.47,overcast clouds,67,4.71,,,
2025-10-05 21:00:00,forecast,25.71,light rain,72,5.51,,,
2025-10-06 00:00:00,forecast,25.36,broken clouds,70,3.99,,,
2025-10-06 03:00:00,forecast,25.23,broken clouds,67,1.65,,,
2025-10-06 06:00:00,forecast,24.82,few clouds,66,2.89,,,
2025-10-06 09:00:00,forecast,26.84,few clouds,57,3.49,,,
2025-10-06 12:00:00,forecast,26.65,overcast clouds,64,5.79,,,
2025-10-06 15:00:00,forecast,24.75,light rain,71,7.7,,,
2025-10-06 18:00:00,forecast,22.37,overcast clouds,70,8.53,,,
2025-10-06 21:00:00,forecast,21.65,light rain,71,7.57,,,
2025-10-07 00:00:00,forecast,20.85,light rain,74,6.89,,,
2025-10-07 03:00:00,forecast,20.26,light rain,73,7.51,,,
2025-10-07 06:00:00,forecast,20.06,overcast clouds,72,6.36,,,
2025-10-07 09:00:00,forecast,20.31,overcast clouds,71,6.86,,,
2025-10-07 12:00:00,forecast,20.3,overcast clouds,72,6.63,,,
2025-10-07 15:00:00,forecast,20.02,light rain,71,6.66,,,
2025-10-07 18:00:00,forecast,19.53,overcast clouds,76,6.22,,,
2025-10-07 21:00:00,forecast,19.39,light rain,76,5.73,,,
2025-10-08 00:00:00,forecast,19.37,overcast clouds,74,6.12,,,
2025-10-08 03:00:00,forecast,19.43,overcast clouds,73,6.49,,,
2025-10-08 06:00:00,forecast,19.44,light rain,70,5.55,,,
2025-10-08 09:00:00,forecast,19.87,light rain,69,6.23,,,
2025-10-08 12:00:00,forecast,20.26,light rain,71,5.12,,,
2025-10-08 15:00:00,forecast,21.45,overcast clouds,72,3.85,,,
2025-10-08 18:00:00,forecast,21.93,overcast clouds,73,4.24,,,
2025-10-08 21:00:00,forecast,22.05,overcast clouds,75,4.1,,,
2025-10-09 00:00:00,forecast,21.77,light rain,77,4.31,,,
2025-10-09 03:00:00,forecast,21.52,light rain,79,5.68,,,
2025-10-09 06:00:00,forecast,20.59,light rain,80,7.92,,,
2025-10-09 09:00:00,forecast,19.96,light rain,84,9.02,,,
2025-10-09 12:00:00,forecast,19.02,light rain,80,10.48,,,
2025-10-09 15:00:00,forecast,18.13,light rain,77,9.53,,,
2025-10-09 18:00:00,forecast,18.2,light rain,71,8.2,,,
2025-10-09 21:00:00,forecast,17.96,overcast clouds,67,7.12,,,
2025-10-10 00:00:00,forecast,17.93,overcast clouds,63,5.69,,,
2025-10-10 03:00:00,forecast,17.38,broken clouds,64,3.85,,,
2025-10-10 06:00:00,forecast,17.3,clear sky,64,2.38,,,
2025-10-10 09:00:00,forecast,19.2,clear sky,56,1.72,,,
